user_id,username_y,matricule_y,cluster_kmeans,is_fraud_isolation,is_fraud_svm,description
219,Jujulove,SP2022219U,1,1.0,1.0,KYC non validé
221,Armelle,SP2022221U,1,1.0,1.0,KYC non validé
223,Samanta samidjo,SP2022223U,1,1.0,1.0,KYC non validé
229,Blondy,SP2022229U,1,1.0,1.0,KYC non validé
244,Yannick,SP2022244A,1,1.0,1.0,KYC non validé
245,Calvio2021 ,SP2022245U,1,1.0,1.0,KYC non validé
247,Yao Landry,SP2022247U,1,1.0,1.0,KYC non validé
248,Maxim mbakop,SP2022248U,1,1.0,1.0,KYC non validé
250,Tchopify,SP2022250A,1,1.0,1.0,KYC non validé
253,cabrel Tchomte,SP2022253A,1,1.0,1.0,KYC non validé
255,Curtys,SP2022255M,1,1.0,1.0,KYC non validé
258,Domaine ABESSOLO,SP2022258M,1,1.0,1.0,KYC non validé
268,Hassan ,SP2022268A,1,1.0,1.0,KYC non validé
271,Miamy,SP2022271M,1,1.0,1.0,KYC non validé
272,Dechallenger1,SP2022272A,1,1.0,1.0,KYC non validé
277,Lorenzo maxim,SP2022277U,1,1.0,1.0,KYC non validé
278,Christian,SP2022278U,1,1.0,1.0,KYC non validé
279,Miguel Garros,SP2022279M,1,1.0,1.0,KYC non validé
294,nidelecreation,SP2022294M,1,1.0,1.0,KYC non validé
296,kammichelle,SP2022296M,1,1.0,1.0,KYC non validé
297,sobtchindaclemencerolande,SP2022297M,1,1.0,1.0,KYC non validé
298,pokemalive1,SP2022298M,1,1.0,1.0,KYC non validé
299,kaderzagle,SP2022299M,1,1.0,1.0,KYC non validé
300,jordancarmel83,SP2022300M,1,1.0,1.0,KYC non validé
301,Felixfouodjo01,SP2022301M,1,1.0,1.0,KYC non validé
302,dj_paul120002000,SP2022302M,1,1.0,1.0,KYC non validé
303,coopjcim,SP2022303M,1,1.0,1.0,KYC non validé
304,fouodjeo,SP2022304M,1,1.0,1.0,KYC non validé
305,REEVY,SP2022305A,1,1.0,1.0,KYC non validé
307,tchindaguilaine1,SP2022307M,1,1.0,1.0,KYC non validé
308,Abi shopping,SP2022308M,1,1.0,1.0,KYC non validé
309,Abi shopping,SP2022309M,1,1.0,1.0,KYC non validé
310,emmanfoungonaoussi6,SP2022310M,1,1.0,1.0,KYC non validé
320,Ngo Cynthia ,SP2022320U,1,1.0,1.0,KYC non validé
322,efastwork,SP2022322A,1,1.0,1.0,KYC non validé
323,joansimdze1984,SP2022323M,1,1.0,1.0,KYC non validé
324,themariestore,SP2022324M,1,1.0,1.0,KYC non validé
325,daniellembono793,SP2022325M,1,1.0,1.0,KYC non validé
326,leonornematcha,SP2022326M,1,1.0,1.0,KYC non validé
327,complexeads,SP2022327M,1,1.0,1.0,KYC non validé
331,landrywafo,SP2022331U,1,1.0,1.0,KYC non validé
333,afrijobcameroun,SP2022333M,1,1.0,1.0,KYC non validé
334,YrraL14,SP2022334U,1,1.0,1.0,KYC non validé
335,mouafogicjpn,SP2022335M,1,1.0,1.0,KYC non validé
346,rmwaha,SP2022346M,1,1.0,1.0,KYC non validé
348,belibinathasha454,SP2022348M,1,1.0,1.0,KYC non validé
350,seedneyfossi01,SP2022350M,1,1.0,1.0,KYC non validé
351,cyrilekwa0,SP2022351M,1,1.0,1.0,KYC non validé
352,carelefeujio,SP2022352M,1,1.0,1.0,KYC non validé
353,paulbrendaekosso,SP2022353M,1,1.0,1.0,KYC non validé
354,trydahdai,SP2022354M,1,1.0,1.0,KYC non validé
355,cedricmac80,SP2022355M,1,1.0,1.0,KYC non validé
356,mendougamarquise,SP2022356M,1,1.0,1.0,KYC non validé
357,leonardngobo98,SP2022357M,1,1.0,1.0,KYC non validé
359,arianetamdjo50,SP2022359M,1,1.0,1.0,KYC non validé
360,ondoajude74,SP2022360M,1,1.0,1.0,KYC non validé
361,carolayissi6,SP2022361M,1,1.0,1.0,KYC non validé
362,maguyazanguim10,SP2022362M,1,1.0,1.0,KYC non validé
372,fiolasandrine,SP2022372M,1,1.0,1.0,KYC non validé
374,Toumakouahenry,SP2022374M,1,1.0,1.0,KYC non validé
375,APMMUSICGROUP,SP2022375M,1,1.0,1.0,KYC non validé
376,lankolaura22,SP2022376M,1,1.0,1.0,KYC non validé
377,marenow,SP2022377M,1,1.0,1.0,KYC non validé
378,jules8,SP2022378A,1,1.0,1.0,KYC non validé
379,sandraefozo9,SP2022379M,1,1.0,1.0,KYC non validé
380,nsaleslie3,SP2022380M,1,1.0,1.0,KYC non validé
381,gabinebikele,SP2022381M,1,1.0,1.0,KYC non validé
383,tonclems,SP2022383M,1,1.0,1.0,KYC non validé
385,simplicen5,SP2022385M,1,1.0,1.0,KYC non validé
386,rosalinem,SP2022386M,1,1.0,1.0,KYC non validé
387,daniellevera34,SP2022387M,1,1.0,1.0,KYC non validé
388,elenssarl,SP2022388M,1,1.0,1.0,KYC non validé
398,menyeg2,SP2023398M,1,1.0,1.0,KYC non validé
400,williamseboule488,SP2023400M,1,1.0,1.0,KYC non validé
401,cynthiakeumbouk,SP2023401M,1,1.0,1.0,KYC non validé
402,boicheewetie,SP2023402M,1,1.0,1.0,KYC non validé
403,deparislena82,SP2023403M,1,1.0,1.0,KYC non validé
404,fabiolatchoumi96,SP2023404M,1,1.0,1.0,KYC non validé
405,zameraissa09,SP2023405M,1,1.0,1.0,KYC non validé
406,Mole,SP2023406M,1,1.0,1.0,KYC non validé
407,annembende07,SP2023407M,1,1.0,1.0,KYC non validé
408,angefosso968,SP2023408M,1,1.0,1.0,KYC non validé
409,merveilleflavytsamotankeu,SP2023409M,1,1.0,1.0,KYC non validé
411,mcorallye,SP2023411M,1,1.0,1.0,KYC non validé
412,Meridians,SP2023412A,1,1.0,1.0,KYC non validé
413,ahmar6553@gmail.com,SP2023413A,1,1.0,1.0,KYC non validé
414,FENESTRA CM,SP2023414A,1,1.0,1.0,KYC non validé
